SponsorInfo
"ID: 43-1/S-203
Name: Serge Joyal
Title: Senator
Constituency: None"
"ID: 42-1/S-203
Name: Wilfred P. Moore
Title: Senator
Constituency: None"
"ID: 41-2/S-203
Name: Mobina S.B. Jaffer
Title: Senator
Constituency: None"
"ID: 41-1/S-203
Name: Céline Hervieux-Payette
Title: Senator
Constituency: None"
"ID: 40-3/S-203
Name: Terry M. Mercer
Title: Senator
Constituency: None"
"ID: 40-2/S-203
Name: Jerahmiel Grafstein
Title: Senator
Constituency: None"
"ID: 40-1/S-203
Name: Sharon Carstairs
Title: Senator
Constituency: None"
"ID: 39-2/S-203
Name: John Bryden
Title: Senator
Constituency: None"
"ID: 39-1/S-203
Name: Percy E. Downe
Title: Senator
Constituency: None"
"ID: 44-1/S-204
Name: Leo Housakos
Title: Senator
Constituency: None"
"ID: 43-2/S-204
